Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Agust\xc3\xadn Ram\xc3\xadrez,24,6,Maj-NL,Miami,52,191,165,25,39,8,1,2,17,23,1,43,2,0,1,6,4,1,0.236,0.335,0.333,0.668,682663
Jos\xc3\xa9 Ram\xc3\xadrez,33,7,Maj-AL,Cleveland,103,447,382,61,93,24,0,11,48,56,8,59,2,0,6,4,31,4,0.243,0.339,0.393,0.731,608070
Pedro Ram\xc3\xadrez,22,7,Maj-NL,Chicago,61,191,172,28,49,10,2,4,24,16,2,33,1,1,1,3,7,1,0.285,0.347,0.436,0.783,699393
Heliot Ramos,26,7,"Maj-AL,Maj-NL","New York,San Francisco",94,376,345,38,84,18,3,10,38,25,2,101,5,0,1,8,4,1,0.243,0.303,0.4,0.703,671218
John Rave,28,7,Maj-AL,Kansas City,33,93,83,16,18,5,1,3,8,8,0,19,0,2,0,1,4,0,0.217,0.286,0.41,0.695,670231
J.T. Realmuto,35,7,Maj-NL,Philadelphia,102,388,343,45,77,17,0,10,45,30,0,79,9,0,6,8,3,0,0.224,0.299,0.362,0.66,592663
Rob Refsnyder,35,36,Maj-AL,Seattle,53,129,114,9,16,1,0,4,11,8,1,37,3,1,3,2,0,0,0.14,0.211,0.254,0.465,608701
Luis Rengifo,29,8,Maj-NL,"Milwaukee,San Diego",95,354,312,38,75,12,0,4,36,34,1,49,3,3,2,4,6,4,0.24,0.319,0.317,0.636,650859
Felix Reyes,25,115,Maj-NL,Philadelphia,12,38,38,2,6,1,0,1,2,0,0,9,0,0,0,1,0,0,0.158,0.158,0.263,0.421,694025
Bryan Reynolds,31,7,Maj-NL,Pittsburgh,138,601,511,89,134,32,2,15,66,79,3,144,9,0,2,7,9,0,0.262,0.369,0.421,0.79,668804
Ben Rice,27,6,Maj-AL,New York,131,562,488,84,123,22,3,35,86,67,4,139,5,0,2,11,3,0,0.252,0.347,0.525,0.872,700250
Austin Riley,29,6,Maj-NL,Atlanta,136,542,486,55,108,21,1,15,61,42,1,171,10,0,4,11,9,1,0.222,0.295,0.362,0.657,663586
Gabriel Rincones Jr.,25,37,Maj-NL,Philadelphia,29,89,84,7,14,4,0,2,7,2,0,29,2,0,1,2,0,0,0.167,0.202,0.286,0.488,687282
Ryan Ritter,25,6,Maj-NL,Colorado,13,19,17,2,3,0,0,0,1,1,0,6,0,1,0,1,0,0,0.176,0.222,0.176,0.399,690022
Leo Rivas,28,14,Maj-AL,Seattle,47,139,116,10,17,3,1,0,9,16,0,39,4,2,1,2,2,0,0.147,0.27,0.19,0.46,660844
Sebasti\xc3\xa1n Rivero,27,89,Maj-AL,Los Angeles,24,57,53,5,13,2,0,0,8,3,0,12,0,1,0,1,0,0,0.245,0.286,0.283,0.569,665861
Luis Robert Jr.,28,7,Maj-NL,New York,58,218,193,24,43,4,0,10,23,23,0,53,0,0,2,5,2,3,0.223,0.303,0.399,0.702,673357
Chuckie Robinson,31,67,Maj-NL,Los Angeles,8,26,23,1,2,0,0,0,1,0,0,5,0,3,0,0,0,0,0.087,0.087,0.087,0.174,642020
V\xc3\xadctor Robles,29,6,Maj-AL,Seattle,60,146,130,14,34,3,2,0,9,9,0,22,3,3,1,4,10,2,0.262,0.322,0.315,0.637,645302
Brayan Rocchio,25,7,Maj-AL,Cleveland,131,509,460,51,114,19,2,10,54,32,0,74,9,4,4,9,16,5,0.248,0.307,0.363,0.67,677587
Brock Rodden,26,6,Maj-AL,Seattle,15,46,40,4,6,2,1,0,3,5,0,14,0,0,1,0,0,1,0.15,0.239,0.25,0.489,801126
Alan Roden,26,11,Maj-AL,Minnesota,28,79,67,6,17,4,0,0,10,9,0,11,0,1,2,1,0,0,0.254,0.333,0.313,0.647,702176
Endy Rodr\xc3\xadguez,26,30,Maj-NL,Pittsburgh,45,159,135,20,36,6,0,7,20,23,0,41,0,0,0,4,6,1,0.267,0.373,0.467,0.84,682848
H\xc3\xa9ctor Rodr\xc3\xadguez,22,6,Maj-NL,Cincinnati,20,73,66,9,15,2,0,4,9,6,0,17,1,0,0,0,0,0,0.227,0.301,0.439,0.741,699302
Jes\xc3\xbas Rodr\xc3\xadguez,24,37,Maj-NL,San Francisco,22,58,51,7,12,3,0,2,8,5,0,8,1,1,0,2,1,1,0.235,0.316,0.412,0.728,683679
Johnathan Rodr\xc3\xadguez,26,46,Maj-AL,Baltimore,6,15,11,0,2,1,0,0,2,3,0,6,0,0,1,1,0,0,0.182,0.333,0.273,0.606,671286
Julio Rodr\xc3\xadguez,25,6,Maj-AL,Seattle,127,551,501,61,122,19,0,20,57,41,2,125,5,0,4,8,17,3,0.244,0.305,0.401,0.706,677594
Jake Rogers,31,6,Maj-AL,"Baltimore,Boston,Chicago,Detroit",51,156,131,17,22,4,1,4,13,20,0,46,1,1,3,3,1,0,0.168,0.277,0.305,0.583,668670
Josh Rojas,32,7,Maj-AL,Kansas City,33,91,85,9,21,4,0,2,13,4,0,15,0,2,0,0,1,0,0.247,0.281,0.365,0.646,668942
Miguel Rojas,37,7,Maj-NL,Los Angeles,85,207,183,20,51,13,0,3,20,13,0,21,2,2,7,8,0,1,0.279,0.322,0.399,0.721,500743
Drew Romo,24,7,Maj-AL,Chicago,58,196,173,17,25,5,0,7,16,17,0,46,3,2,1,4,1,0,0.145,0.232,0.295,0.527,691011
Brent Rooker,31,90,Maj-AL,Athletics,48,203,180,20,36,4,0,10,29,19,1,65,2,0,2,3,2,0,0.2,0.281,0.389,0.67,667670
Ben Rortvedt,28,7,Maj-NL,Los Angeles,16,28,27,0,5,0,0,0,1,0,0,9,0,1,0,0,0,0,0.185,0.185,0.185,0.37,666163
Amed Rosario,30,6,Maj-AL,New York,79,218,201,25,48,5,1,10,30,14,0,54,0,0,3,1,2,1,0.239,0.284,0.423,0.707,642708
Shawn Ross,26,42,Maj-NL,Pittsburgh,2,5,5,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0.2,0.2,0.8,1.0,676566
Esteury Ruiz,27,6,Maj-NL,Miami,92,204,168,35,40,10,1,6,11,22,0,64,11,1,1,0,30,7,0.238,0.361,0.417,0.778,665923
Keibert Ruiz,27,6,Maj-NL,Washington,90,314,293,41,83,22,0,9,45,16,1,35,2,0,3,7,2,1,0.283,0.322,0.451,0.772,660688
TJ Rumfield,26,6,Maj-NL,Colorado,134,543,469,55,136,26,2,13,61,63,0,75,9,0,2,5,0,0,0.29,0.383,0.437,0.82,681198
Dalton Rushing,25,36,Maj-NL,Los Angeles,73,245,217,37,55,12,0,12,36,23,0,70,4,0,1,2,0,0,0.253,0.335,0.475,0.809,687221
Adley Rutschman,28,7,Maj-AL,"Baltimore,Boston",82,343,300,35,71,20,1,9,51,36,0,55,2,0,5,7,0,1,0.237,0.318,0.4,0.718,668939
Thomas Saggese,24,7,Maj-NL,St. Louis,34,87,81,11,17,2,1,1,4,6,0,27,0,0,0,2,1,2,0.21,0.264,0.296,0.561,695336
C\xc3\xa9sar Salazar,30,98,Maj-AL,Houston,9,22,18,0,1,0,0,0,1,3,0,3,1,0,0,0,0,0,0.056,0.227,0.056,0.283,663967
Ali S\xc3\xa1nchez,29,7,Maj-AL,New York,40,71,66,6,16,2,0,1,7,1,0,20,2,1,1,2,0,1,0.242,0.271,0.318,0.59,645305
Gary S\xc3\xa1nchez,33,6,Maj-NL,Milwaukee,76,243,199,34,41,9,1,11,34,40,0,51,3,0,1,8,0,0,0.206,0.346,0.427,0.773,596142
Jes\xc3\xbas S\xc3\xa1nchez,28,8,Maj-AL,Toronto,93,288,258,24,68,18,0,8,34,17,1,66,8,0,5,6,1,2,0.264,0.323,0.426,0.749,660821
Javier Sanoja,23,6,Maj-NL,Miami,120,388,364,35,102,28,2,6,51,22,0,32,0,1,1,6,9,4,0.28,0.32,0.418,0.738,691594
Carlos Santana,40,154,Maj-NL,Arizona,8,26,24,1,2,1,0,0,0,2,0,8,0,0,0,0,0,0,0.083,0.154,0.125,0.279,467793
Nolan Schanuel,24,17,Maj-AL,Los Angeles,107,446,392,43,108,22,0,7,49,42,0,58,6,1,5,10,1,1,0.276,0.351,0.385,0.736,694384
Casey Schmitt,27,41,Maj-NL,San Francisco,97,405,384,47,105,17,1,21,55,11,1,81,6,0,4,6,9,1,0.273,0.301,0.487,0.788,669477
Daniel Schneemann,29,45,Maj-AL,Cleveland,83,276,252,28,52,11,0,6,28,24,0,81,0,0,0,5,6,2,0.206,0.275,0.321,0.597,682177
Davis Schneider,27,16,Maj-AL,Toronto,62,140,113,18,16,6,0,3,12,25,0,47,0,1,1,1,1,0,0.142,0.295,0.274,0.569,676914
Max Schuemann,29,16,Maj-AL,New York,41,87,72,17,14,6,0,2,8,12,0,21,3,0,0,0,3,2,0.194,0.333,0.361,0.694,680474
Kyle Schwarber,33,6,Maj-NL,Philadelphia,132,592,494,80,120,17,1,40,82,86,6,194,6,0,5,1,3,1,0.243,0.359,0.524,0.883,656941
Victor Scott II,25,91,Maj-NL,St. Louis,61,184,155,19,30,4,0,2,9,16,0,44,2,10,1,3,9,4,0.194,0.276,0.258,0.534,687363
Corey Seager,32,6,Maj-AL,Texas,77,331,285,44,63,12,0,13,34,41,4,80,3,0,2,10,1,0,0.221,0.323,0.4,0.723,608369
Anthony Seigler,27,9,Maj-AL,Boston,48,171,148,21,37,12,1,3,13,18,0,28,1,2,2,3,2,0,0.25,0.331,0.405,0.737,678011
Marcus Semien,35,6,Maj-NL,New York,118,460,418,42,91,10,1,14,43,36,0,97,1,1,4,10,10,2,0.218,0.279,0.347,0.626,543760
Hayden Senger,29,96,Maj-NL,New York,7,17,15,2,2,0,0,1,2,0,0,4,0,2,0,0,0,0,0.133,0.133,0.333,0.467,663584
Brian Serven,31,7,Maj-AL,Athletics,18,53,52,7,12,0,0,5,14,1,0,14,0,0,0,2,0,0,0.231,0.245,0.519,0.765,661531
Matt Shaw,24,6,Maj-NL,Chicago,58,156,137,23,34,7,2,5,22,14,0,27,3,1,1,2,4,1,0.248,0.329,0.438,0.767,807713
Gavin Sheets,30,8,Maj-NL,San Diego,122,412,356,46,75,15,0,16,46,49,0,84,5,0,2,12,4,0,0.211,0.313,0.388,0.701,657757
Braden Shewmake,28,49,"Maj-AL,Maj-NL","Houston,Milwaukee",34,91,85,12,22,5,0,3,10,2,0,16,0,2,2,2,1,0,0.259,0.27,0.424,0.693,669699
Zack Short,31,56,"Maj-AL,Maj-NL","Detroit,New York",29,62,50,4,7,2,0,0,2,8,0,19,1,1,2,0,0,0,0.14,0.262,0.18,0.442,670097
Michael Siani,26,77,Maj-AL,Baltimore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,672279
Ronny Simon,26,22,Maj-NL,Pittsburgh,9,34,31,4,9,1,0,0,2,2,0,4,0,1,0,3,1,0,0.29,0.333,0.323,0.656,682927
Chandler Simpson,25,6,Maj-AL,Tampa Bay,129,522,483,53,150,14,6,0,31,24,1,42,0,9,6,5,38,14,0.311,0.339,0.364,0.704,802415
Jose Siri,30,6,Maj-AL,Los Angeles,84,188,169,29,39,8,0,7,23,12,1,60,3,3,1,7,6,1,0.231,0.292,0.402,0.694,642350
